S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
2554,Jamshri Realty,228.75,22.88,159.82,6.01,26.64,-2.13,-3.04,,0.00,,1,10,-5.8,103.03,0.7,
2555,Raj Oil Mills,53.31,5.33,159.81,118.5,1.35,0.66,0.22,242.14,0.00,,10400,10,-1.73,-890.00,3,
2556,Enfuse,180,18,159.26,39.85,3.97,5.36,6.06,29.71,0.00,5.00,19200,10,36.03,111.24,0.88,0.28
2557,ATV Projects,29.95,3,159.09,67.44,2.36,6.03,1.14,26.38,0.00,0.80,60445,10,37.38,5.26,5.31,0.25
2558,Prakash Steelage,9.09,9.09,159.08,93.5,1.70,36.96,2.11,62.14,0.00,20.61,364597,1,0.44,-99.74,17.5,0.04
2559,Indsil Hydro,57.14,5.71,158.80,116.61,1.36,-9.96,-3.58,,0.00,1.38,37541,10,41.45,2.59,2.78,0.82
2560,Shreeji Translog,22.72,11.36,158.78,247.57,0.64,12.76,1.83,12.44,0.66,2.84,414123,2,8.01,-75.24,6.99,0.84
2561,Electro Force,67.8,6.78,158.65,36.44,4.35,5.75,2.46,27.59,0.00,2.26,42000,10,30,-119.13,2.34,0.00
2562,Panache Digilife,132.13,13.21,158.56,102.33,1.55,1.04,0.88,41.95,0.00,4.98,2900,10,26.56,286.36,1.2,1.02
2563,Salona Cotspin,300.6,30.06,158.12,771.71,0.21,6.34,12.05,24.94,0.00,1.98,372,10,151.58,152.22,0.53,3.22
2564,Manglam Infra,89.6,8.96,157.67,40.24,3.92,6.76,5.34,23.26,0.00,,280000,10,,,1.76,0.26
2565,Pacific Inds,228.6,22.86,157.57,198.78,0.79,10.95,15.89,14.39,0.00,0.36,2852,10,629.16,-63.35,0.69,0.12
2566,Ecoplast,525.2,52.52,157.56,118.41,1.33,9.98,33.27,15.79,0.57,3.76,1865,10,139.87,-5.84,0.3,0.03
2567,Arunjyoti Bio,84.45,8.45,157.40,27.73,5.66,1.3,0.7,121.08,0.00,88.93,36798,10,0.95,34.13,1.86,29.05
2568,Jainam Ferro,149,14.9,157.36,189.9,0.83,5.33,5.07,29.52,0.00,1.50,5000,10,99.24,,1.06,0.09
2569,Calcom Vision,116.9,11.69,157.31,160.2,0.99,1.28,0.95,122.90,0.00,,75256,10,,-338.46,1.35,
2570,Kesar Enterprise,155.9,15.59,157.14,467.11,0.34,71.99,71.42,,0.00,0.82,17295,10,190.22,-113.67,1.01,0.39
2571,Baweja Studios L,85,8.5,156.63,64.3,2.43,8.22,4.46,19.05,0.00,1.64,24800,10,51.94,-11.03,1.84,0.04
2572,Tirupati Starch,162.9,16.29,156.21,317.1,0.49,-0.55,-0.57,,0.00,2.92,335,10,55.8,-583.72,0.96,2.87
2573,Sizemasters Tech,155.9,15.59,155.90,12.21,12.77,2.13,2.1,76.80,0.00,13.50,376,10,11.55,2.04,1,1.06
2574,Parvati Sweetner,10.44,2.09,155.71,86.34,1.80,1.23,0.08,126.59,0.00,1.54,55672,5,6.79,-96.10,14.91,0.43
2575,Munoth Capital,169.75,33.95,155.59,0.17,918.65,-0.22,-0.24,,0.00,27.25,4,5,6.23,200.00,0.92,0.01
2576,Xelpmoc Design,105.53,10.55,155.21,4.88,31.79,-14,-9.25,,0.00,2.49,38903,10,42.44,34.93,1.47,0.04
2577,MEP Infrast.,8.43,0.84,155.07,49.11,3.16,-272.85,-14.55,,0.00,,0,10,-21.61,-124.55,18.39,
2578,ANI Integrated,149.3,14.93,154.56,199.32,0.78,6.66,6.76,23.24,0.00,2.76,33600,10,54,-12.95,1.04,0.46
2579,Bhilwara Spinner,170.5,17.05,154.36,21.49,7.22,3.28,4.02,97.08,0.00,3.74,4049,10,45.61,191.23,0.91,1.33
2580,Fidel Softech,112.1,11.21,154.14,43.33,3.57,6.6,4.8,23.35,0.98,4.11,2000,10,27.27,41.61,1.38,0.04
2581,Vaswani Industri,51.26,5.13,153.78,387.53,0.40,8.79,2.93,17.49,0.00,1.26,246971,10,40.55,-18.71,3,0.27
2582,De Neers Tools,178.4,17.84,153.54,109.8,1.40,8.66,10.06,17.73,0.00,2.36,47400,10,75.75,-10.50,0.86,0.90
2583,Gayatri Projects,8.2,4.1,153.50,1369.06,0.11,-1455.38,-77.75,,0.00,,0,2,-35.53,-8.66,18.72,
2584,WEP Solutions,41.91,4.19,153.39,67.81,2.26,4.13,1.13,37.14,1.19,2.55,35828,10,16.45,5.50,3.66,0.22
2585,CIL Nova Petro.,56.45,5.65,152.98,3.27,46.78,2.2,0.81,,0.00,1.72,34153,10,32.75,66.29,2.71,0.20
2586,Vedavaag Systems,66.5,6.65,152.45,92.23,1.65,8.46,3.69,18.02,0.90,1.27,274774,10,52.42,-7.31,2.29,0.02
2587,SKIL Infrastr,7.03,0.7,152.25,0,,845.29,39.03,8.91,0.00,0.77,0,10,9.14,-120.75,21.66,9.88
2588,Colab Cloud,14.91,7.46,152.08,12.6,12.07,2.01,0.2,79.62,0.00,7.01,29468,2,2.13,125.00,10.2,0.00
2589,Patel Integrated,23.44,2.34,151.39,311.62,0.49,6.03,0.93,25.11,0.43,1.27,252746,10,18.48,-8.38,6.46,0.20
2590,Hindprakash Indu,145.22,14.52,151.38,94.49,1.60,1.21,1.16,125.11,0.34,3.02,1196,10,48.14,4.00,1.04,0.45
2591,Deepak Spinners,210.1,21.01,151.05,497.27,0.30,-6.52,-9.07,,0.24,0.64,10989,10,327.5,-91.81,0.72,0.19
2592,Kohinoor Foods,40.6,4.06,150.51,93.33,1.61,-6.01,-1.62,,0.00,,120084,10,-140.85,-554.55,3.71,
2593,Lotus Eye Hospit,72.33,7.23,150.45,48.53,3.10,2.15,1.03,69.65,0.69,2.53,99023,10,28.57,3000.00,2.08,0.02
2594,Transwar.Fin.,30.76,3.08,150.34,15.42,9.75,1.48,0.3,101.58,0.00,4.98,37907,10,6.18,-114.29,4.89,1.27
2595,Diensten Tech,182,18.2,150.34,40.97,3.69,-2.37,-3.92,,0.00,,3600,10,,60.59,0.83,4.89
2596,AAA Technologies,117.16,11.72,150.28,23.98,6.25,3.41,2.66,44.07,0.43,5.37,73400,10,21.8,636.36,1.28,0.00
2597,Likhami Consult.,151,15.1,150.25,0.63,237.29,0.23,0.23,653.26,0.00,4.33,0,10,34.86,-89.47,0.99,0.00
2598,JCT,1.73,0.69,150.22,556.55,0.27,-122.85,-1.41,,0.00,0.56,0,2.5,3.11,-1.47,86.83,0.73
2599,Beardsell,38.04,19.02,150.02,233.34,0.64,7.87,2,19.06,0.26,2.11,59830,2,18.01,143.96,3.94,0.40
2600,KIC Metaliks,42.24,21.12,149.94,803.62,0.19,1.51,0.43,99.30,0.00,0.83,6333,2,50.76,163.91,3.55,0.72
2601,Pharmaids Pharma,42.45,4.25,149.71,10.5,14.27,-11.1,-3.09,,0.00,2.08,3024,10,20.43,50.71,3.53,0.12
2602,Pee Cee Cosma,564.8,56.48,149.67,136.76,1.07,11.36,42.93,13.18,0.53,3.71,54376,10,152.25,23.62,0.26,0.04
2603,Elnet Technolog,372.9,37.29,149.16,25.32,5.89,17.62,44.05,8.47,0.54,1.07,4168,10,348.4,0.00,0.4,0.03
2604,Atishay,135.35,13.54,148.63,46.6,3.19,6.53,5.95,22.76,0.74,3.51,14067,10,38.58,-57.31,1.1,0.05
2605,Binayaka Tex Pr,2090.15,209.02,148.40,201.89,0.72,5.03,70.72,29.50,0.00,1.60,36,10,1310,-86.63,0.07,0.54
2606,Aksh Optifibre,9.12,1.82,148.38,204.3,0.73,-75.03,-4.61,,0.00,3.67,1527331,5,2.49,90.86,16.27,2.53
2607,New Swan,78,7.8,148.33,152.52,0.97,9.39,4.94,15.80,0.00,2.17,8000,10,35.9,,1.9,0.53
2608,Ultracab India,15.53,7.77,148.19,151.53,0.98,7.07,0.74,20.81,0.00,3.90,273151,2,3.98,20.34,9.54,1.38
2609,Master Component,370.05,37.01,148.02,25.24,5.86,2.68,6.7,55.23,0.00,6.44,0,10,57.5,67.00,0.4,-0.01
2610,Sonal Mercantile,100.35,10.04,147.90,39.1,3.77,26.9,18.25,5.50,0.00,0.47,1852,10,212.95,5.60,1.47,0.93
2611,Amarjothi Spg.,218.7,21.87,147.62,200.42,0.74,13.53,20.04,10.91,1.01,0.82,31521,10,267.56,-28.13,0.68,0.36
2612,VMS Industries,60.25,6.03,147.45,358.42,0.41,6.77,2.76,21.78,0.83,2.31,171623,10,26.09,-55.80,2.45,0.35
2613,Srivasavi Adhes.,103.75,10.38,147.06,77.33,1.91,5.15,3.63,28.72,0.00,4.34,45000,10,23.9,-13.09,1.42,0.07
2614,DHP India,488.6,48.86,146.58,49.31,2.97,22.88,76.27,6.41,0.82,0.68,37007,10,722.87,-53.38,0.3,0.02
2615,India Steel,3.68,3.68,146.49,0,,-10.59,-0.27,,0.00,3.69,179812,1,1,-171.87,39.81,2.34
2616,Krishanveer Forg,133.27,13.33,145.80,89.85,1.62,4.59,4.2,31.76,1.50,3.73,45822,10,35.72,68.27,1.09,0.00
2617,Globe Textiles,4.84,2.42,145.34,458.7,0.32,8.86,0.26,28.29,0.00,,253120,2,,-4.58,30.03,
2619,Shervani Indl Sy,563.85,56.39,145.08,79.77,1.84,9.74,36.09,14.90,0.44,0.98,307,10,573.38,106.08,0.26,0.20
2618,AMD Industries,75.68,7.57,145.08,271.89,0.53,1.28,0.67,113.34,0.00,0.93,67111,10,81.45,4066.67,1.92,0.67
2620,Swastik Pipe,62.35,6.24,144.85,723.46,0.20,5.13,2.21,28.24,0.00,0.68,18000,10,91.88,-74.88,2.32,0.53
2621,Gujchem Distill,404.9,404.9,144.50,1.57,92.84,-0.23,-0.64,,0.00,8.57,1400,1,47.24,-363.33,0.36,1.31
2622,Motor & Gen Fin,37.16,7.43,143.91,6.2,23.20,1.16,0.3,124.06,0.00,1.92,25580,5,19.37,7150.00,3.87,0.02
2623,Zenith,83.85,8.39,143.79,131.62,1.09,9.54,5.56,13.08,0.00,2.31,38400,10,36.28,,1.71,0.38
2624,Barak Valley,64.75,6.48,143.49,231.98,0.62,7.16,3.23,20.04,0.00,1.19,22962,10,54.3,370.94,2.22,0.40
2625,Credent Global,139.4,13.94,143.47,14.57,9.85,-8.65,-8.4,,0.36,1.97,13373,10,70.69,-495.88,1.03,0.31
2626,Aprameya Enginee,75.35,7.54,143.47,65.16,2.20,3.46,2.47,41.47,0.00,,140000,10,,,1.9,1.80
2627,Kundan Edifice,139.6,13.96,143.40,84.23,1.71,3,2.92,47.80,0.00,4.41,6000,10,31.62,-109.37,1.03,0.56
2628,Bengal Tea & Fab,159,15.9,143.20,56.92,2.51,-0.98,-1.09,,0.63,1.31,747,10,121.71,157.33,0.9,0.06
2629,Aluwind,57.6,5.76,143.12,83.43,1.71,7.54,4.13,18.98,0.00,,78000,10,,,2.48,0.51
2630,Sundaram Multi.,3.01,3.01,142.64,127.17,1.12,-4,-0.08,,0.00,1.54,1212489,1,1.95,4.17,47.39,0.35
2631,ITL Industries,444.7,44.47,142.50,164.34,0.87,9.89,30.18,14.74,0.22,1.99,1977,10,223.36,-30.27,0.32,0.22
2632,Relicab Cable,141.15,14.12,142.49,36.32,3.93,1.8,1.78,79.16,0.00,11.98,185904,10,11.78,-50.60,1.01,0.92
2633,Landmark Prop.,10.59,10.59,142.06,1.27,111.82,-11.84,-0.88,,0.00,3.25,45458,1,3.26,100.50,13.41,0.00
2634,Premco Global,429.35,42.94,141.89,100.46,1.41,10.16,30.74,14.16,2.33,1.26,3259,10,341.47,2.05,0.33,0.06
2635,Fiberweb (India),49.26,4.93,141.83,80.35,1.77,9.23,3.21,15.37,0.00,0.88,145449,10,56.04,-17.61,2.88,0.04
2636,Pritika Engineer,107.15,10.72,141.25,88.71,1.59,3.37,2.56,41.91,0.00,3.55,88000,10,30.15,168.57,1.32,1.52
2637,Quadrant Tele.,2.3,2.3,140.82,261.74,0.54,-117.21,-1.91,,0.00,,440222,1,-40.81,5.44,61.23,
2638,Guj. Toolroom,12.06,12.06,140.70,1064.79,0.13,256.36,21.97,0.55,8.29,1.77,484777,1,6.82,245.08,11.67,0.00
2639,Maitreya,207.45,20.75,140.57,48.7,2.90,2.97,4.38,47.65,0.00,4.65,104800,10,44.63,-167.72,0.68,0.19
2640,Ausom Enter.,103,10.3,140.29,1833.76,0.08,11.59,8.51,12.10,0.49,1.12,7410,10,91.66,16.90,1.36,0.03
2641,SagarSoft (India,219.2,21.92,140.12,158.46,0.89,9.9,15.75,14.15,0.91,2.04,628,10,107.26,18.29,0.64,0.13
2642,DRS Dilip Road,93,9.3,140.08,181.75,0.77,3,1.99,46.69,0.00,5.03,800,10,18.48,-114.57,1.51,0.23
2643,SAL Automotive,584.15,58.42,140.06,322.8,0.43,4.8,20.02,29.18,0.68,3.61,409,10,161.95,59.14,0.24,0.69
2644,SNL Bearings,387.4,38.74,139.85,48.08,2.90,8.76,24.26,15.96,1.68,2.35,2682,10,164.81,25.12,0.36,0.00
2645,Regency Ceramics,52.87,5.29,139.79,2.96,47.15,-10.06,-3.8,,0.00,,3526,10,-23.58,9.35,2.64,
2646,Future Consumer,0.7,0.12,139.79,387.43,0.36,-126.07,-0.65,,0.00,,0,6,-1.53,23.19,199.7,
2647,Golkunda Diamond,199.75,19.98,139.03,235.58,0.59,12.72,18.27,10.93,0.75,2.57,4192,10,77.58,-18.81,0.7,0.73
2648,Steel City Sec.,91.96,9.2,138.92,62.91,2.21,13.95,9.23,9.96,2.17,1.17,12816,10,78.35,-3.64,1.51,0.04
2649,Dhruva Cap.Serv.,342,34.2,138.91,1.44,97.38,1.67,4.11,83.18,0.00,11.42,1181,10,29.94,-62.35,0.41,0.00
2650,Zenith Exports,256.9,25.69,138.73,77.19,1.80,0.05,0.09,2774.60,0.00,1.73,1927,10,148.71,133.33,0.54,0.07
2651,Adtech Systems,116.35,11.64,138.62,55.06,,4.15,,36.97,0.00,,410,10,,18.92,,0.04
2652,Gayatri Sugars,21.39,2.14,138.61,339.01,0.41,0.2,-0.25,693.05,0.00,,226176,10,-14.18,-152.62,6.48,
2653,GTV Engineering,442.4,44.24,138.20,134.44,1.02,6.34,20.3,21.80,0.00,3.80,2084,10,116.42,-41.20,0.31,0.48
2654,TCI Industries,1530,153,137.70,1.45,94.97,-1.07,-11.93,,0.00,32.83,11,10,46.61,-47.62,0.09,2.16
2655,Emerald Leisures,273.9,54.78,137.12,19.39,7.06,-12.52,-25.01,,0.00,,25,5,-153.79,-6.49,0.5,
2656,Accel,23.81,11.91,137.08,169.82,0.81,3.27,0.61,38.51,1.26,2.10,39433,2,11.34,8.14,5.76,1.13
2657,Aspire & Innovat,90,9,136.60,383.99,0.36,9.31,8.38,14.67,0.00,,12000,10,,36.90,1.52,0.35
2658,Tamboli Industri,137.6,13.76,136.50,69.83,1.95,6.77,6.82,20.16,0.73,1.24,38733,10,110.79,-2.11,0.99,0.03
2659,Jayant Infratech,140.45,14.05,136.33,89.3,1.53,4.87,5.02,27.60,0.00,4.36,46500,10,32.24,6.36,0.97,0.24
2660,IBL Finance,55,5.5,136.02,14.22,9.55,2.28,0.92,59.66,0.00,2.42,20000,10,22.77,-28.57,2.47,0.09
2661,Transteel Seatin,67.25,6.73,135.70,74.26,1.83,11.11,5.51,12.05,0.00,1.74,94000,10,38.59,66.03,2.02,0.45
2662,Banka Bioloo,125.1,12.51,135.69,54.61,2.47,1.95,1.82,69.23,0.00,3.42,6644,10,36.62,216.00,1.08,0.65
2663,United Van Der,109.65,21.93,135.64,22.96,5.92,1.48,1.21,91.65,0.46,3.23,839,5,33.97,88.89,1.24,0.70
2664,Cinerad Communic,70.69,7.07,135.46,13.99,9.70,-0.71,-0.29,,0.00,8.05,1810,10,8.78,91.15,1.92,0.01
2665,Saumya Cons,195.9,19.59,135.31,67.22,2.01,25.74,37.27,5.26,0.00,1.24,128,10,157.96,5600.00,0.69,0.00
2666,Bilcare,57.46,5.75,135.29,759.07,0.18,-60.42,-13.47,,0.00,0.27,12170,10,211.44,23.64,2.35,1.52
2667,ITCONS E-Soluti.,268.85,26.89,135.20,28.5,4.72,1.91,3.8,70.79,0.00,9.71,14000,10,27.7,48.05,0.5,0.13
2668,BSEL ALGO,16.36,1.64,135.17,34.38,3.93,30.83,3.73,4.38,0.00,0.29,333099,10,55.47,93.70,8.26,0.00
2669,Cerebra Integr.,11.15,1.12,135.12,55.3,2.44,-50.62,-4.18,,0.00,0.64,989741,10,17.5,-278.66,12.12,0.18
2670,Active Clothing,87.1,8.71,135.11,214.13,0.63,5.33,3.44,25.35,0.00,1.95,4729,10,44.61,-9.70,1.55,1.24
2671,Rishi Laser,147,14.7,135.09,138.37,0.98,8.22,8.94,16.43,0.00,2.51,22005,10,58.66,-53.43,0.92,0.22
2672,Nidhi Granites,168.5,16.85,134.80,40,3.37,1.35,1.69,99.85,0.00,10.40,307,10,16.2,733.33,0.8,0.34
2673,COSCO (India),323.75,32.38,134.68,179.38,0.76,4.19,10.07,32.14,0.00,2.70,7542,10,119.71,80.00,0.42,1.14
2674,Rexnord Electr.,120.55,12.06,134.53,97.29,1.39,6.93,6.21,19.41,0.00,1.89,15644,10,63.72,2.22,1.12,0.22
2675,Wallfort Fin.,138.6,13.86,134.30,59.58,2.26,35.69,36.84,3.76,0.00,0.90,8703,10,153.92,631.12,0.97,0.00
2676,Zenith Steel,9.4,0.94,133.74,145.14,0.92,-0.24,-0.02,,0.00,,184614,10,-18.05,-119.41,14.23,
2677,Tulsyan NEC,89.04,8.9,133.56,1016.55,0.13,-34.49,-22.99,,0.00,0.39,428,10,229.17,102.91,1.5,0.97
2678,Virat Crane Inds,65.17,6.52,133.08,132.83,1.00,9.89,4.84,13.46,0.00,2.08,22001,10,31.37,-44.75,2.04,0.09
2679,Macobs,134.95,13.5,132.19,20.62,6.41,2.21,3.07,60.09,0.00,,108800,10,,,0.98,0.25
2680,Nath Industries,69.57,6.96,132.18,324.84,0.41,0.7,0.37,188.83,0.00,0.54,14726,10,129.08,164.29,1.9,0.43
2681,Garg Furnace,286,28.6,131.81,258.61,0.51,6.6,15.04,19.97,0.00,2.71,1380,10,105.69,-44.88,0.46,0.03
2682,Vuenow Infratech,74.01,7.4,131.74,50.77,,8.92,,14.77,1.01,,1785,10,,-3.71,,0.54
2683,Goyal Aluminiums,9.23,9.23,131.74,71.44,1.84,2.17,0.15,60.71,0.00,6.66,188599,1,1.39,0.00,14.27,0.08
2684,Sanco Trans,730,73,131.40,98.08,1.34,1.43,7.94,91.89,0.21,1.25,120,10,584.89,-63.08,0.18,0.12
2685,Mysore Petro,199.1,19.91,131.08,41.94,3.13,10.37,17.83,39.96,1.26,0.60,11443,10,334.55,1405.97,0.66,0.09
2686,Rainbow Foundat.,26.39,2.64,130.94,108.65,1.20,4.91,0.99,26.67,0.00,1.80,32213,10,14.68,-53.14,4.96,4.02
2687,Ansal Buildwell,177.2,17.72,130.77,58.04,2.26,25.47,34.49,5.13,0.56,1.07,5066,10,166.11,254.98,0.74,0.26
2688,Maiden Forgings,92,9.2,130.75,236.1,0.55,9.72,6.84,13.45,0.00,1.84,9000,10,49.93,32.54,1.42,0.88
2689,Tulive Developer,606.7,60.67,130.71,0,,-0.78,-3.62,,0.00,2.72,17,10,223.4,-309.09,0.22,0.00
2690,BN Holdings,131.8,13.18,130.46,7.09,18.40,-3.13,-3.16,,0.00,1.84,2519,10,71.8,-110.99,0.99,0.02
2691,Facor Alloys,6.67,6.67,130.43,55.63,2.34,-5.07,-0.29,,0.00,0.81,261077,1,8.21,227.35,19.55,0.06
2692,Pion. Embroider.,44.23,4.42,130.37,358.88,0.36,2.75,0.99,47.41,0.00,0.90,53233,10,48.89,-91.60,2.95,0.77
2693,Palash Securi.,130.2,13.02,130.24,39.34,3.31,-12.86,-7.56,,0.00,0.27,2387,10,482.66,31.38,1,0.06
2694,Bhagwati Auto,452,45.2,130.18,130.9,1.00,7.37,25.58,17.66,0.44,3.19,462,10,141.91,-38.82,0.29,0.21
2695,Aakash Explor.,12.84,12.84,130.01,99.94,1.30,6.38,0.63,20.38,0.00,2.22,230792,1,5.78,-65.81,10.12,0.31
2696,Ahlada Engineers,100.39,10.04,129.71,262.79,0.49,13.83,10.7,9.38,1.39,0.94,151007,10,106.42,-71.49,1.29,0.31
2697,Sampann Utpadan,31.85,3.19,129.34,74.13,1.74,-1.43,-0.35,,0.00,25.07,72690,10,1.27,-450.00,4.06,18.81
2698,Goel Food,68.57,6.86,129.27,24.1,5.38,5,2.65,25.85,0.73,5.84,4000,10,11.75,111.18,1.89,1.33
2699,Sh. Ajit Pulp,241.15,24.12,129.18,336.86,0.64,7.77,8.73,16.63,0.41,0.94,1953,10,255.35,-23.16,0.89,1.00
2700,Cravatex,499.75,49.98,128.94,171.81,0.76,4.88,18.88,26.42,0.60,1.31,709,10,382.01,-4.00,0.26,0.00
2701,Three M Paper,67,6.7,128.89,272.23,0.47,11.35,8.43,11.30,0.00,,20000,10,,,1.92,1.19
2702,VIRAT LEASING,99.22,9.92,128.79,0.94,137.22,-0.08,-0.06,,0.00,8.22,194,10,12.07,225.00,1.3,0.00
2703,Party Cruisers,114.6,11.46,128.78,60.79,2.11,6.22,5.53,20.70,0.00,5.55,5000,10,20.66,-86.82,1.12,0.01
2704,Rudra Gas,154.4,15.44,128.74,63.77,2.01,4.73,5.67,27.22,0.00,4.90,39000,10,31.49,,0.83,0.80
2705,Oxygenta Pharma,36.28,3.63,128.73,45.4,2.84,-0.28,-0.06,,0.00,,3555,10,-6.01,-116.96,3.55,
2706,Suraj Industries,81.07,8.11,128.44,45.76,2.80,2.56,1.69,51.17,0.00,2.60,2815,10,31.21,182.61,1.58,0.22
2707,Rajeshwari Cans,244.65,24.47,128.34,34.58,3.68,1.33,2.54,96.50,0.00,12.78,58000,10,19.14,4.62,0.52,0.38
2708,BLS Infotech,2.93,2.93,128.24,0.09,1424.96,0.02,0,6412.00,0.00,3.15,215372,1,0.93,200.00,43.77,0.00
2709,WSFX Global,106.4,10.64,127.87,76.65,1.67,5.04,4.3,25.37,0.00,3.88,7077,10,27.43,3.00,1.2,0.14
2710,Prerna Infra.,35.34,3.53,127.67,37.61,3.39,5.05,1.33,26.49,0.00,1.26,42735,10,28,26.32,3.61,0.34
2711,B C C Fuba India,83.35,8.34,127.61,31.22,4.08,3.39,2.21,37.64,0.00,6.55,18679,10,12.72,-22.32,1.53,0.46
2712,Bharat Immunolog,29.55,2.96,127.60,7.65,16.69,-18.07,-4.18,,0.00,1.62,77580,10,18.23,-7.19,4.32,0.94
2713,Peria Kara. Tea,412,41.2,127.55,53.7,2.38,5.4,17.44,23.89,0.12,0.67,394,10,617.66,319.32,0.31,0.11
2714,Vishal Bearings,118.15,11.82,127.50,93.72,1.36,-1.39,-1.29,,0.00,3.60,8708,10,32.84,-234.15,1.08,1.39
2715,Sharp Chucks and,118.4,11.84,127.40,201.66,0.63,6.1,5.67,20.89,0.00,2.08,32000,10,56.89,53.11,1.08,1.37
2716,Ind-Swift,23.51,11.76,127.34,467.56,0.27,40.1,7.4,3.18,0.00,,117735,2,-127.54,-24.77,5.42,
2717,Vaidya Sane,121,12.1,127.21,99.33,1.28,1.98,1.88,64.25,0.41,3.02,8000,10,40.11,-32.20,1.05,0.03
2718,Lahoti Overseas,43.24,21.62,126.14,485.66,0.26,13.58,4.66,9.29,0.46,0.67,30018,2,64.92,621.59,2.92,0.05
2719,Himalaya Food,21.77,2.18,125.99,47.33,2.66,5.22,0.9,24.14,0.00,0.91,94205,10,23.85,-53.19,5.79,0.00
2720,Genpharmasec,2.27,2.27,125.69,30.41,4.13,-0.17,0,,0.00,1.95,1049481,1,1.16,207.41,55.37,0.06
2721,Asarfi Hospital,63.85,6.39,125.64,84.4,1.49,4.16,2.11,30.20,0.00,,16000,10,,,1.97,
2722,Agri-Tech India,210.91,21.09,125.28,0.13,957.21,9.38,15.79,13.36,0.00,1.24,22718,10,170.45,-147.14,0.59,0.00
2723,Lasa Supergeneri,24.98,2.5,125.15,104.62,1.20,-19.51,-3.89,,0.00,1.29,73788,10,19.3,82.16,5.01,0.23
2724,Trishakti Indus,84.09,42.05,124.90,109.05,1.15,1.73,1.16,72.20,0.00,11.65,21223,2,7.22,2000.00,1.49,0.27
2725,Pramara Promotio,138,13.8,124.68,63.48,1.96,3.95,4.37,31.56,0.00,3.79,2000,10,36.46,333.78,0.9,1.02
2726,Thacker & Co.,1145.95,1145.95,124.65,5.34,23.61,20.77,190.95,6.00,0.00,0.91,1,1,1257.52,-14.57,0.11,0.00
2727,Rama Vision,119.51,11.95,124.60,96.18,1.29,3.88,3.72,32.11,0.00,4.51,9676,10,26.48,33.71,1.04,0.68
2728,Nagreeka Exports,39.78,7.96,124.31,600.15,0.21,6.13,1.96,20.28,0.00,0.85,209695,5,47.01,-47.13,3.12,1.13
2729,Sayaji Industr,196.2,39.24,124.00,1004.06,0.12,-13.76,-21.9,,0.00,1.20,518,5,163.78,63.30,0.63,1.66
2730,Key Corp,206.55,20.66,123.93,95.16,1.30,94.54,157.57,1.31,0.00,1.96,1566,10,105.43,-73.53,0.6,0.00
2731,Womancart,294.05,29.41,123.74,29.3,4.22,2.84,6.75,43.57,0.00,7.49,8000,10,39.26,31.97,0.42,0.40
2732,Energy Devl.Co.,26.04,2.6,123.69,30.01,4.12,-2.17,-0.46,,0.00,1.22,89117,10,21.31,-413.41,4.75,1.52
2733,Future Retail,2.28,1.14,123.64,8541.03,0.01,-4445.43,-81.98,,0.00,,0,2,-20.61,3.70,54.23,
2734,APM Industries,57.08,28.54,123.36,296.16,0.42,2.37,1.1,52.05,2.80,0.72,4234,2,79.13,-227.27,2.16,0.17
2735,MRP Agro,122.5,12.25,122.93,43.2,2.84,1,1,122.93,0.00,9.49,126000,10,12.91,284.62,1,0.14
2736,Integrated Perso,170.4,17.04,122.80,245.59,0.50,5.37,7.45,22.87,0.00,3.01,1000,10,56.63,21.90,0.72,0.76
2737,Aayush Wellness,37.7,37.7,122.34,11.68,10.49,0.39,0.12,313.69,0.00,24.90,91853,1,1.51,247.06,3.25,0.00
2738,Royal Cush. Vin.,33.42,3.34,122.28,61.76,1.98,297.81,213.09,13.47,0.00,,67801,10,-8.11,-100.29,3.66,
2739,Alkali Metals,119.96,12,122.12,80.48,1.52,-2.3,-2.26,,0.83,2.38,25337,10,50.42,-692.86,1.02,0.44
2740,Pulz Electronics,112,11.2,122.12,46.51,2.62,8.28,7.59,14.75,0.00,4.18,23000,10,26.79,2.44,1.09,0.01
2741,Dhariwalcorp,136.35,13.64,122.05,228.77,0.54,4.51,6.86,27.06,0.00,,45600,10,,,0.9,1.00
2742,Shah Alloys,61.53,6.15,121.83,572.23,0.21,-26.04,-13.15,,0.00,10.82,14762,10,5.69,-251.70,1.98,7.12
2743,7Seas Enter.,65.05,6.51,121.38,12.66,9.61,0.98,0.53,123.86,0.00,11.94,7495,10,5.45,28.57,1.87,0.04
2744,Dynavision,316,31.6,121.34,11.49,10.45,6.58,17.37,18.44,0.00,6.71,1285,10,47.08,9.04,0.38,1.34
2745,Abhinav Capital,174.55,17.46,120.87,11.48,10.49,5.11,7.38,23.65,0.00,1.53,1859,10,113.77,36.59,0.69,0.49
2746,Harshdeep,75,7.5,120.71,48.22,2.50,6.55,4.07,18.43,0.00,3.25,33000,10,23.06,22.03,1.61,0.00
2747,MCON Rasayan,191.45,19.15,120.69,42.13,2.86,2.24,3.55,53.88,0.00,7.71,10000,10,24.83,6.42,0.63,1.02
