S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
304,Kansai Nerolac,290.1,290.1,23451.09,7777.7,3.02,666.73,8.39,35.17,0.86,4.20,361428,1,69.06,96.75,80.84,0.05
305,Jupiter Wagons,549.1,54.91,23309.19,3783,6.16,358.43,8.76,65.03,0.05,13.96,723193,10,39.34,-14.38,42.45,0.21
306,Atul,7899.45,789.95,23257.37,4865.71,4.77,334.14,112.48,70.15,0.25,4.55,39018,10,1737.1,90.63,2.94,0.05
307,Laurus Labs,429.5,214.75,23156.89,5053.95,4.58,148.16,2.75,156.87,0.19,5.63,3253609,2,76.27,-83.10,53.92,0.63
308,Himadri Special,464.9,464.9,22943.52,4434.39,5.17,447.36,9.58,51.31,0.11,7.52,871682,1,61.83,6.60,49.35,0.20
309,V-Guard Industri,524.15,524.15,22791.62,4826.28,4.72,259.66,5.98,87.77,0.27,12.88,681264,1,40.7,3.42,43.5,0.20
310,JBM Auto,1909.35,954.68,22577.52,5207.63,4.33,196.99,15.4,124.02,0.07,19.34,85741,2,98.75,-46.34,11.82,1.82
311,Garden Reach Sh.,1966.65,196.67,22528.37,3846.46,5.86,367.78,32.11,61.26,0.40,13.46,853691,10,146.09,-21.87,11.46,0.04
312,Finolex Cables,1465.25,732.63,22409.44,5040.62,4.44,735.18,48.07,30.48,0.48,4.53,183733,2,323.39,31.07,15.29,0.00
313,CESC,168.87,168.87,22384.91,15846,1.41,1467,10.61,15.91,2.66,1.96,2822306,1,86.35,-6.51,132.56,1.27
314,Radico Khaitan,1665.85,832.93,22282.89,4301.13,5.18,268.83,20.11,82.89,0.18,9.37,251219,2,177.79,34.37,13.38,0.34
315,Kajaria Ceramics,1380.3,1380.3,21982.42,4627.88,4.75,415.37,25.39,54.36,0.87,8.40,110877,1,164.29,-11.46,15.93,0.09
316,Aarti Industries,603.25,120.65,21868.85,6814,3.21,484,13.35,45.18,0.17,4.13,3378469,5,145.92,3.79,36.25,0.61
317,Nuvama Wealth,6148.5,614.85,21821.62,3452.71,6.32,722.63,205.08,30.20,1.33,7.50,58189,10,819.85,22.15,3.55,2.33
318,Affle India,1554.5,777.25,21801.25,1955.73,11.14,317.68,22.91,68.63,0.00,8.73,438702,2,178.17,-1.03,14.02,0.07
319,Firstsour.Solu.,307.7,30.77,21690.29,6598.14,3.29,523.99,7.44,41.39,1.14,5.86,39983732,10,52.54,1.31,70.49,0.41
320,Vinati Organics,2070.85,2070.85,21467.60,1985.94,10.81,339.98,32.92,63.14,0.34,8.71,69578,1,237.73,-17.70,10.37,0.00
321,SignatureGlobal,1527.5,1527.5,21463.01,1475.31,14.55,30.3,2.15,711.17,0.00,34.25,682266,1,44.6,-83.52,14.05,3.09
322,PNB Housing,824.6,82.46,21417.19,7127.44,3.00,1613.45,62.13,13.27,0.00,1.43,800107,10,574.93,-1.15,25.97,3.68
323,Alembic Pharma,1089.45,544.73,21414.57,6304.21,3.40,629.76,32.05,34.00,1.01,4.44,192257,2,245.12,-24.50,19.66,0.11
324,Piramal Enterp.,947.35,473.68,21360.63,9265.1,2.31,-2010.83,-89.53,,1.06,0.80,4250722,2,1182.08,32.38,22.55,2.02
325,Swan Energy,680.1,680.1,21318.20,5354.59,3.98,708.81,12.85,58.37,0.01,3.40,1681596,1,200.31,381.51,31.35,0.55
326,Bikaji Foods,848.4,848.4,21242.42,2378.56,8.93,287.06,11.47,74.00,0.12,17.33,1284816,1,48.95,-47.85,25.04,0.11
327,Cams Services,4272.7,427.27,21030.48,1206.62,17.42,382.25,78.43,55.02,1.09,22.96,451777,10,186.1,3.85,4.92,0.11
328,K E C Intl.,817.1,408.55,21006.69,20182.47,1.04,392.03,15.25,53.58,0.49,5.13,310098,2,159.31,-42.29,25.71,0.97
